Identifier,Lat,Long
MOJA_P_HOL0119,35.141339000,-115.398844000
LAKE_P_DRI0002,35.201987000,-114.684017000
LAKE_P_PIP0016,35.209564000,-114.684396000
MOJA_P_BUT0027,35.234953000,-115.378302000
LAKE_P_RAT0056,35.247651000,-114.727738000
NATR_SWBR,35.250305556,-87.652277778
LAKE_P_WIL0061,35.252827000,-114.709785000
NATR_GLBR,35.254444444,-87.631666667
MOJA_P_SAC0173,35.273117000,-115.394814000
MOJA_P_HEN0118,35.315000000,-115.862618000
MOJA_P_COA0055,35.353160000,-115.131445000
MOJA_P_TAL0187,35.378978000,-115.118576000
GRSM_FOAT_799,35.460600000,-83.811700000
GRSM_FOLS_16,35.462200000,-83.808800000
GRSM_FOLS_679,35.462200000,-83.808800000
GRSM_O  97L1,35.463206000,-83.435249000
GRSM_DECR_744,35.463300000,-83.433500000
NATR_MFBR,35.464166667,-87.478888889
GRSM_HOBO_DPC_3_30,35.473333000,-83.429772000
GRSM_HOGO_HAZ_4_24,35.473829000,-83.712568000
GRSM_OCRT_797,35.510500000,-83.303600000
GRSM_OCONvc,35.514129434,-83.306005346
GRSM_MIMI_723,35.520900000,-83.308500000
GRSM_C25 Replicate 2,35.525320000,-83.223370000
GRSM_C25 Replicate 1,35.525320000,-83.223370000
NATR_LISW,35.529722000,-87.453556000
MOJA_P_WIL0224,35.544690000,-115.535238000
PECO_001,35.551376000,-105.686573000
GRSM_N  95G2,35.555950000,-83.311530000
GRSM_N  95G1,35.562120000,-83.312235000
GRSM_CDAQ_613,35.562500000,-83.497900000
GRSM_ND_SW,35.564762100,-83.480043000
GRSM_ND_NE,35.564770000,-83.479954000
GRSM_ND_TF,35.564952000,-83.476531000
GRSM_ND_OS,35.565004000,-83.477079000
GRSM_N  97F1,35.565060000,-83.493660000
GRSM_OCONuCol,35.572806576,-83.339449089
GRSM_01496StraightFork,35.580620000,-83.240330000
GRSM_PK_LowSAL,35.581849560,-83.074729990
GRSM_PKFI_B1,35.586600000,-83.074000000
GRSM_PKTR_19,35.587200000,-83.072900000
GRSM_PKNH_C,35.587300000,-83.062500000
GRSM_PKWC_096,35.587935420,-83.070884770
GRSM_CDAT_588,35.590600000,-83.470100000
GRSM_06_little_river_2_1,35.594517000,-83.514233000
GRSM_06_little_river_3_2,35.598617000,-83.566633000
GRSM_CCAQ_796,35.603400000,-83.783000000
GRSM_06_little_river_2_3,35.606900000,-83.637367000
GRSM_ABC_8_60,35.607112000,-83.934393000
GRSM_M  97S1,35.608020000,-83.435688000
GRSM_06_little_river_4_1,35.608700000,-83.671200000
GRSM_NFGA_557,35.610207370,-83.423709640
GRSM_SF_LOWER,35.612472500,-83.214658611
GRSM_M  93R1,35.616470000,-83.120900000
GRSM_WPLPtree,35.619312122,-83.426319858
GRSM_STFKds,35.621927339,-83.211233254
GRSM_SF_UPPER,35.622721944,-83.211919167
GRSM_STFKus,35.622760444,-83.211714266
GRSM_WPLPu441,35.624125185,-83.416948183
GRSM_M  93L1,35.625160000,-83.115890000
GRSM_06_little_river_2_2,35.627250000,-83.706250000
GRSM_OCONbef2,35.627907053,-83.726220631
GRSM_BD_WCST,35.628343300,-83.452476700
GRSM_CVRS_645,35.629000000,-83.093000000
GRSM_BD_RPST,35.630022780,-83.468998056
GRSM_CADV_640,35.632000000,-83.045700000
GRSM_BD_NPST,35.632293890,-83.587941940
GRSM_LRAQ_544,35.633200000,-83.941300000
GRSM_BD_PCST,35.635761670,-83.144440830
GRSM_BD_LBST,35.636771861,-83.145567220
GRSM_WPLPchim,35.637332600,-83.493407800
GRSM_CHIM_A,35.638900000,-83.496800000
GRSM_TRWP,35.639320000,-83.695580000
GRSM_TRSF,35.640020000,-83.687480000
GRSM_C29 Replicate 2,35.640040000,-83.056380000
GRSM_C29 Replicate 1,35.640040000,-83.056380000
GRSM_TRCE,35.640100000,-83.693500000
GRSM_TRBT_C,35.640124000,-83.688300000
GRSM_TRBT_P,35.640124000,-83.688300000
GRSM_TRCE_C,35.640683000,-83.691907000
GRSM_TRCE_P,35.640683000,-83.691907000
GRSM_TRNT,35.640770000,-83.689150000
GRSM_FOHA_183,35.641410000,-83.482060000
GRSM_TRDB,35.641686547,-83.697008923
GRSM_TRLA,35.642080000,-83.692330000
GRSM_TRMT,35.642430000,-83.687430000
